D0,31.56782182459677,25.93282459677419
D1,23.462160534274197,26.31880846774194
D2,19.85964440524193,26.31880846774194
D3,16.257128276209677,26.31880846774194
D4,13.040596018145159,26.44746975806452
D5,10.081386340725807,26.44746975806452
D6,6.864854082661289,26.576131048387104
D7,3.5196605342741947,26.704792338709673
D8,9.084826047459568,23.78594689625071
D9,7.950237558471597,20.60279585770113
D10,7.067779844814288,18.01845541056186
D11,6.34290386573864,15.528664004171592
D12,5.744093274328321,13.637683189191641
D13,5.371708680736213,12.180333409209156
D14,5.0463201271462035,10.90202123439126
D15,4.465269138592613,8.182702607960458
D16,1.2420302256914049,26.8039553565727
D17,-0.7796037392365349,26.8039553565727
D18,-2.837543106139435,24.128350000000005
D19,-4.720148309053068,22.315470915712805
D20,-9.043167663891776,19.23009016649324
D21,-9.089145917338705,16.411889112903225
D22,-8.935661062849105,13.061394850114077
D23,-12.543953770574005,13.061394850114077
D24,-15.192241996427144,13.061394850114077
D25,-16.946732946054848,13.061394850114077
D26,-8.767407847018173,11.599857666754598
D27,-8.36727025910059,10.113632340203576
D28,-8.224363977701453,8.255850682014799
D29,-8.052876440022489,6.741044099183949
D30,-6.823882419989912,5.369143797752235
D31,-4.364669614984388,27.03941545265349
D32,-8.188516885080645,27.219437500000005
D33,-10.504420110887096,28.24872782258064
D34,-12.00108359496943,24.8107476944589
D35,-15.222181253658299,22.456868636186268
D36,-17.823837054906996,20.763727559183145
D37,-20.714565722961105,18.657625243886578
D38,-25.050658725042275,15.849488823491157
D39,-25.257139344188996,13.495609765218525
T0,Q1,D0
T1,D0,D1
T2,D1,D2
T3,D2,M54
T4,D2,D3
T5,D3,D4
T6,D4,M34
T7,D4,D5
T8,D5,D8
T11,D8,M33
T12,D8,M32
T13,D8,D9
T14,D9,D10
T15,D10,M51
T16,D10,M18
T17,D10,D11
T18,D11,D12
T19,D12,M73
T20,D12,M82
T21,D12,D13
T22,D13,D14
T23,D14,M16
T24,D15,M14
T25,D14,D124
T26,D14,M95
T27,D15,M15
T28,D5,D6
T29,D6,M35
T30,D6,D7
T32,D7,D16
T33,D16,M92
T34,D16,D17
T35,D17,D18
T36,D18,D19
T37,D19,M19
T38,D19,D20
T39,D20,D21
T40,D21,M80
T41,D21,M62
T42,D21,D22
T43,D22,D23
T44,D23,M3
T45,D23,D24
T46,D24,D25
T47,D25,M71
T48,D22,D26
T49,D26,M17
T50,D26,D27
T51,D27,D28
T52,D28,M88
T53,D28,M1
T54,D28,D29
T55,D29,D30
T56,D30,M63
T57,D17,D31
T58,D31,M89
T59,D31,M79
T60,D31,D32
T61,D32,D33
T62,D33,M43
T63,D32,D34
T64,D34,D35
T65,D35,M41
T66,D35,D36
T67,D36,D37
T68,D37,M42
T69,D37,D38
T70,D38,D39
T71,D39,M56
T72,D39,M40
D40,27.193337953629033,20.529050403225803
D41,24.50036752268359,17.48875075002198
D42,21.555569348890753,14.320297018725885
D43,12.554301116316898,14.748978486986804
D44,16.72994481133156,14.595462174670086
D45,12.285545366435397,12.027652659880053
D46,12.173047388527007,8.962082761876426
D47,11.976175927187324,6.0652598307353855
D48,11.694930982416352,3.1684368995943455
D49,12.538665816729274,1.1715977917204246
D50,13.973015035061245,-1.6689761504664204
D51,12.060549410618616,-1.753349633897713
D52,10.260581764084382,-1.9220966007602982
D53,8.826232545752408,-1.9220966007602982
D54,7.391883327420438,-1.697100644943518
D55,5.648164669840395,-1.5283536780809337
D56,3.7638235398748643,-1.6127271615122254
D57,1.6544864540925532,-1.4439801946496411
D58,-0.8485935543691214,-1.6127271615122254
D59,-2.610875223179228,-0.9965269305263682
D60,-4.613856649759242,-0.914772586584327
D61,-5.881048980860889,-2.4681051214831164
D62,-7.679644547585799,-2.2637192616280117
D63,-9.478240114310712,-2.1819649176859706
D64,-11.358590024977666,-2.1410877457149518
D65,-13.198062763673601,-2.1410877457149518
D66,-15.241921362224637,-2.0593334017729106
D67,-17.65367450851486,-2.1819649176859706
D68,-17.817183196398943,0.5159284324013989
D69,-19.20700704341365,-2.1819649176859706
D70,-21.046479782109582,-2.1819649176859706
D71,-24.785823336693547,-1.600691532258061
D72,-24.013855594758063,0.5865504032258073
D73,-0.8548233366935492,-2.7586431451612867
D74,-0.983484627016125,-4.559901209677413
D75,-2.08262421899547,-5.919173279089856
D76,-1.112145917338708,-9.06304637096774
T73,D0,D40
T74,D40,D41
T75,D41,M50
T76,D41,M75
T77,D41,D42
T78,D42,D44
T79,D44,M81
T80,D44,D43
T81,D43,D45
T82,D45,M48
T83,D45,D46
T84,D46,D47
T87,D47,M64
T89,D47,D48
T90,D48,D49
T92,D47,M55
T93,D49,M74
T94,D49,M37
T95,D49,D50
T96,D50,D51
T97,D51,M39
T98,D51,D52
T99,D52,D53
T100,D53,M38
T101,D53,D54
T102,D54,D55
T103,D55,M36
T104,D55,M12
T105,D55,D56
T107,D56,D57
T108,D57,M85
T109,D57,M13
T110,D57,D58
T111,D58,D59
T112,D59,M83
T113,D59,D60
T114,D60,D61
T115,D61,D62
T116,D62,M76
T117,D62,M65
T118,D62,D63
T119,D63,D64
T120,D64,M24
T121,D64,M90
T122,D64,D65
T123,D65,D66
T125,D66,M25
T126,D66,M0
T127,D66,D67
T128,D67,D68
T129,D68,M8
T130,D68,M2
T132,D67,D69
T133,D69,M58
T134,D69,D70
T135,D70,D71
T136,D71,M9
T137,D71,M10
T138,D70,D72
T139,D72,M78
T140,D72,M11
T141,D58,D73
T143,D73,M70
T144,D73,D74
T145,D74,D75
T146,D75,M93
T147,D75,M44
D77,-2.8612724222844648,-7.131711071234932
T148,D75,D77
T149,D77,D76
T151,D76,M46
D78,28.0939669858871,11.780082661290322
D79,26.965193487899203,9.678716619619788
D80,25.261191291702797,6.365379015904555
D81,24.17252322191065,4.377376453675417
D82,22.27918744835909,1.253372427315341
D83,23.22585533513487,-1.491964444334421
D84,23.888522855877916,-4.000634344290241
D85,25.829192023768265,-6.035970300858171
D86,20.81185222385663,-1.491964444334421
D87,20.007184520097216,-3.195966640530827
D88,19.155183421999013,-5.893970117841803
D89,18.019181957868078,-8.307973229120044
D90,16.37261091586567,-10.925039116592975
D91,20.091060779688583,-12.010958103373119
D92,22.62487174884225,-12.80071736648595
D93,25.290309261848055,-13.78791644537699
D94,14.233679578268418,-10.497252849073526
D95,11.304988977558336,-9.740400221923728
D96,9.561387858106789,-9.381353365634752
D97,7.602830990260795,-8.678281669484907
D98,5.493615901811264,-8.427184635145677
D99,10.947147850007855,-13.363487340280685
D100,11.005240851866985,-17.0631785580486
D101,13.879622713853685,-18.32613710986594
D102,16.887289240875052,-19.341224562735647
D103,19.030251641377774,-19.86756620496439
D104,10.458402039366884,-19.98035369972769
D105,10.044847891901444,-22.42408275293255
D106,7.9343530663358575,-27.011854899977557
D107,5.852498728305704,-23.042074041100975
D108,1.7654864632768223,-24.12393022890274
D109,-3.313227307237014,-26.828570698407148
D110,-0.909102445455316,-24.90527080898179
D111,-3.8241038403656233,-21.17887727322016
D112,-5.296630318206914,-19.2555773837948
D113,-7.760858301533153,-20.577846057774735
D114,-10.014725359453493,-21.840011610210126
D115,-1.9308555117125383,-13.906399566330528
D116,-4.4852381773555905,-14.146812052508697
D117,-0.8189477631385031,-18.02346339213168
D118,-12.048355594758064,-24.116417338709674
D119,-11.791033014112898,-19.35594959677419
D120,-13.20630720766129,-16.911385080645157
D121,-17.58079107862903,-16.782723790322578
D122,-21.183307207661286,-15.36744959677419
D123,-11.405049143145156,-14.338159274193544
T152,D0,D78
T153,D78,D79
T154,D79,M5
T155,D79,D80
T156,D80,D81
T157,D81,M7
T158,D81,M4
T159,D81,D82
T160,D82,D83
T161,D83,M6
T162,D83,D84
T163,D84,D85
T164,D85,M86
T165,D82,D86
T167,D86,D87
T168,D87,M87
T169,D87,D88
T170,D88,D89
T172,D89,M67
T173,D89,D90
T174,D90,D91
T175,D91,M66
T176,D91,M29
T177,D91,D92
T178,D92,D93
T179,D93,M59
T180,D90,D94
T181,D94,M28
T182,D94,D95
T183,D95,D96
T184,D96,D96
T185,D96,M72
T186,D96,D97
T187,D97,D98
T188,D98,D98
T189,D98,M45
T190,D95,D99
T191,D99,M60
T192,D99,D99
T193,D99,D100
T194,D100,D101
T195,D101,M30
T196,D101,D102
T197,D102,D103
T198,D103,M31
T199,D100,D104
T200,D104,M49
T201,D104,D105
T202,D105,D106
T203,D106,D106
T204,D106,M53
T205,D106,M22
T206,D106,D106
T207,D105,D107
T208,D107,D107
T209,D107,M84
T210,M84,M84
T211,D107,M20
T212,D107,D108
T213,D108,D108
T214,D108,D110
T215,D110,D109
T216,D109,M23
T217,D110,D111
T219,D111,D117
T220,D117,M77
T221,D117,M47
T222,D111,D125
T223,D115,D116
T224,D116,M94
T225,D111,D112
T226,D112,D113
T227,D113,M21
T228,D113,M57
T229,D113,D114
T230,D114,D118
T231,D118,M91
T232,D114,D119
T233,D119,M52
T234,D119,D120
T235,D120,D121
T236,D121,D122
T237,D122,M68
T238,D122,M69
T239,D120,D123
T240,D123,D123
T241,D123,M27
T242,D123,M26
T243,D125,M61
D124,4.683760632135003,9.652524108452036
T244,D124,D15
D125,-2.8242835852403605,-17.452608406210718
T255,D125,D115
R0,24,0
