D1,-30.730468002775627,3.5609766960236886
D2,-28.0372,1.68721
D3,-25.2122,-0.115966
D4,-21.1541282477975,-0.519447798729713
D5,-18.316264621165463,-0.2529286574422045
D6,-18.2718238292875,2.568605527799364
D7,-15.681896400613727,0.0049578192822608
D8,-12.246888410692296,0.3518245125499684
D9,-10.477320104479041,-0.37647766986258
D10,-28.11615402358758,7.3044132564256525
D11,-25.7748,14.8671
D12,-23.8358,15.3509
D13,-21.652422792855152,15.902291678568922
D14,-19.87791662055857,18.24696390460349
D15,-18.29634521620123,20.573601600201613
D16,-18.044392136695222,15.389866663110418
D17,-15.58500696797234,15.28273127729369
D18,-12.811782095077143,14.763475631646797
D19,-10.169919131979853,14.075295161962718
D20,-8.238969309181421,13.121294875910447
D21,-7.271108373938441,11.405941905450371
D22,-6.013966738227441,9.39844962987718
D23,-4.984603619212813,7.883441277924675
D24,-3.9866664030449237,6.476120244615568
D25,-3.6767852931448695,5.1377408104330256
D26,-5.017555115583193,12.530009398557375
D27,-1.988328763241003,11.963480791789564
D28,-8.231530967204927,15.309488101804732
D29,-0.3743146413872527,12.470363553940683
D30,0.7505374822268491,9.47582069914452
D31,1.8160138884057808,13.642950115597543
D32,-14.939090274941833,22.788865106401214
D33,-12.73679334754473,24.073914132138277
D34,-10.419791193177165,25.240182418197193
D35,-8.106864551517281,26.17296473760752
D36,-5.4443882120024405,27.060719460181552
D37,-2.9389276878225683,27.873362535677835
D38,-2.426534243585449,23.777169337558163
D39,-1.837296929057885,30.773597311600767
D40,-0.027824878012491894,27.394361021309418
D41,2.3767124186076742,26.885275456699542
D42,5.114497362252077,25.39721842865898
D43,7.695266490561515,23.834049753540672
D44,12.497548562622383,22.426735346573246
D45,10.133963350130823,23.05188464238948
D46,14.969046480904936,21.293662033331213
D47,7.440438370242268,18.15527490689655
D48,9.873701212868,17.061795173547228
D49,-32.1297,-2.74672
D50,-26.0537,-3.84254
D51,-25.3833,-6.35746
D52,-23.927580348541284,-8.234113731592359
D53,-21.536628094280047,-9.521485851697568
D54,-19.1412477170928,-10.766041051890532
D55,-17.45120320279545,-10.322393838293884
D56,-15.94556295793375,-9.90181378344149
D57,-14.095098699274047,-9.303251023456694
D58,-11.984607130642692,-8.866942740492323
D59,-10.479813281121682,-7.721576656434287
D60,-8.957633952071262,-6.348329930499641
D61,-7.003544813489625,-5.688662043012504
D62,-5.143545215317243,-5.119855368525339
D63,-3.5335309642798074,-2.974124798945868
D64,-1.8050977058784872,-0.6685800247641227
D65,1.0686092111140957,-3.454315165259394
D66,0.8692849893750667,-5.686600297614204
D67,0.8382341670409188,-7.7321742120119215
D68,2.225564924573581,-8.534913843753325
D69,0.7608243955545748,-0.33060843164184295
D70,2.400832873541301,-0.12021949699400136
D71,4.110512217090811,-0.13167626177947955
D72,5.504747700196047,0.7448914263055735
D73,6.898983183301281,1.621459114390626
D74,9.018801803210536,1.933787726833653
D75,11.015413098110422,2.5608255168987153
D76,11.732591818954148,4.881689914393416
D77,9.222221624305257,7.556688816171483
D78,13.95618756972721,3.823757804168343
D79,16.322800331172292,2.4668583112390676
D80,23.9,-2.56798
D81,18.7072,-0.0234097
D82,20.978548005132975,7.462144046691127
D83,23.75150743468904,6.18706432192454
D84,26.406654048899338,5.074916770172029
D85,29.458649599111133,7.113028644429313
D86,19.603393787833824,11.628697826665912
D87,22.867051669290284,13.120159489667643
D88,-29.37858887853761,-13.788646947880416
D89,-27.1043913762911,-16.21849710408099
D90,-25.337139587101532,-18.198239310042435
D91,-21.766703321036495,-20.099141423149636
D92,-19.402233270556216,-21.276512625699755
D93,-16.847040459158592,-22.64871154561836
D94,-14.573029012282065,-22.982577349672862
D95,-12.255198960702664,-22.912720428740094
D96,-8.821723860584179,-22.12690519806203
D97,-5.456636315753983,-21.04572347156437
D98,-4.138767332638992,-17.170937537758256
D99,-3.4602417575584585,-22.70142744103257
D100,-1.072151992971948,-24.762643164292015
D101,1.2973825803272803,-25.943923092200414
D102,1.0623316674090333,-22.5568332173338
D103,2.929867713379325,-20.897937657311896
D104,4.948295282945655,-19.021046328680168
D105,7.31772,-15.2039
D106,4.96788,-14.213
D107,9.623012860449299,-22.96366165166462
D108,13.513926932055575,-23.924842166093736
D109,17.353873929799036,-24.63824444207076
D110,20.18533071957168,-25.359898486060604
D111,12.576491763275273,-20.183801746635666
D112,15.9911,-16,6871
D113,12.9636,-16.07
D114,12.3606,-13.2583
D115,11.557124857358579,-10.51983356512471
D116,9.773671163769649,-10.488703265106647
D117,17.7055,-14.5189
D118,19.102415386605337,-12.869849305503138
D119,23.0228,-12.3043
D120,26.4582,-2.52822
D121,29.122,-2.64749
D122,20.0172,-2.01135
D123,18.5631,-9.55616
T0,D29,D30
T1,D30,M14
T2,D30,M15
T3,D29,D31
T4,D31,M95
T5,D31,M73
T6,D16,M62
T7,D16,D17
T8,D17,D18
T9,D18,D19
T10,D18,M19
T11,D18,M80
T12,D19,D20
T13,D20,D28
T14,D28,M18
T15,D20,D21
T16,D21,D22
T17,D22,D23
T18,D23,D24
T19,D23,M88
T20,D21,M17
T21,D24,D25
T22,D25,M13
T23,D25,M63
T24,D20,D26
T25,D26,M16
T26,D26,M82
T27,D26,D27
T28,D27,D29
T29,Q1,D1
T30,D1,D2
T31,D2,M40
T32,D2,M56
T33,D2,D3
T34,D3,D4
T35,D4,D5
T36,D4,M71
T37,D4,D4
T38,D5,D6
T39,D6,M3
T40,D5,D7
T41,D7,M2
T42,D7,M1
T43,D7,D8
T44,D8,D9
T45,D9,M90
T46,D1,D10
T47,D10,M42
T48,Q1,D11
T49,D11,D12
T50,D12,D13
T52,D12,M41
T53,D12,M43
T54,D13,D16
T55,D13,D14
T56,D14,D15
T57,D14,M79
T58,D15,D32
T59,D32,D33
T60,D32,M89
T61,D33,D34
T62,D34,M92
T63,D34,D35
T64,D35,D36
T65,D36,D36
T66,D36,M35
T67,D36,D37
T68,D37,D38
T69,D38,M32
T70,D37,D39
T71,D39,M34
T72,D37,D40
T73,D40,D41
T74,D41,D42
T75,D42,D43
T76,D43,D47
T77,D47,D48
T78,D43,D45
T79,D45,D45
T80,D45,D44
T81,D44,D46
T82,D46,M50
T83,D46,M5
T84,D48,M81
T85,D48,M48
T86,D45,M75
T87,D42,M51
T88,D42,M54
T89,D40,M33
T90,D3,D50
T91,D1,D49
T92,D50,D51
T93,D51,D52
T94,D51,M78
T95,D51,M11
T96,D52,D53
T97,D53,D54
T98,D53,M9
T99,D53,M8
T100,D54,D55
T101,D55,D56
T102,D55,M58
T103,D56,D57
T104,D57,D58
T105,D57,M25
T106,D57,M0
T107,D58,D59
T108,D59,D60
T109,D59,M24
T110,D60,D61
T111,D61,D62
T112,D61,M76
T113,D61,M65
T114,D62,D63
T115,D127,D64
T116,D63,M70
T117,D63,M83
T118,D64,D65
T119,D65,D66
T120,D66,D67
T121,D67,D68
T122,D68,M46
T123,D68,M44
T124,D66,M93
T125,D64,D69
T126,D69,D70
T127,D70,D71
T128,D70,M85
T129,D71,D72
T130,D72,M12
T131,D72,M36
T132,D72,D73
T133,D73,D74
T134,D74,M37
T135,D74,M38
T136,D74,D74
T137,D74,D75
T138,D75,D76
T139,D76,D77
T140,D77,M55
T141,D77,M64
T142,D76,D78
T143,D78,M39
T144,D78,M74
T145,D78,D79
T146,D79,D81
T147,D81,M67
T148,D81,D122
T149,D80,M66
T150,D79,D82
T151,D82,D86
T152,D86,M4
T153,D82,D87
T154,D87,M7
T155,D82,D83
T156,D83,D84
T157,D84,D85
T158,D85,M86
T159,D83,M87
T160,D83,M6
T161,D49,D88
T162,D88,D89
T163,D89,D90
T164,D89,M10
T165,D90,D91
T166,D91,D92
T167,D92,D93
T168,D92,M69
T169,D93,D94
T170,D94,D95
T171,D94,D94
T172,D94,M68
T173,D95,D96
T174,D96,D97
T175,D96,M27
T176,D96,M52
T177,D97,D98
T178,D98,M26
T179,D98,M94
T180,D97,D99
T181,D99,D100
T183,D99,M91
T184,D100,D101
T185,D101,M23
T186,D101,M21
T187,D100,D102
T188,D102,D103
T189,D103,D104
T190,D104,M61
T191,D105,D126
T192,D106,D105
T193,D102,M57
T194,D103,D107
T195,D107,D108
T196,D108,M84
T197,D108,D108
T198,D108,M22
T199,D108,D109
T200,D109,D110
T201,D110,M53
T202,D107,D111
