Q1,-26.4,-44
M0,-13.038410789253467,-5.348810063058771,
M1,-13.035510481314567,2.8581664562334517,
M2,-16.04089187187978,-2.9103602791855954,
M3,-16.208680489760283,4.102258131915194,
M4,17.27133286288341,11.8791739670519,
M5,16.55576943930345,18.202566172730318,
M6,25.110137992511813,9.097965211903979,
M7,25.669412933675904,14.029272598407672,
M8,-18.866309345877994,-7.422593661627772,
M9,-20.761060720453166,-14.1687880131526,
M10,-24.788384261894343,-14.085259020858263,
M11,-26.7500689085948,-10.423521544345274,
M12,4.213318016568756,2.9383191268575866,
M13,-1.3207810211809279,4.411659834358069,
M14,-1.1313135161040297,7.8234924891815645,
M15,3.4510417800676945,9.27862029787981,
M16,-3.770173511074482,10.190132074531338,
M17,-8.636556973466854,8.898955480507873,
M18,-5.925970687192892,17.13808231438193,
M19,-10.587363262967585,16.66385108964805,
M20,10.442053249492318,-18.460166763460368,
M21,3.2861162666783628,-23.93572033346546,
M22,14.811327044069952,-26.67397096784808,
M23,3.0900067343282576,-29.7000486595865,
M24,-7.492061288883437,-10.743369194233914,
M25,-11.619637315188616,-11.154197804570096,
M26,-6.604312898090249,-14.926994511425228,
M27,-7.7306333565824366,-18.838150251712484,
M28,19.82017547044878,-5.871550929747648,
M29,23.709795127303035,-5.392569797537838,
M30,20.727060968370672,-14.88232268879576,
M31,26.670286569065134,-14.028291390042625,
M32,-4.311241953965947,20.697290107991527,
M33,1.567848796475106,23.64240622591938,
M34,0.8920855823790372,33.53486244661981,
M35,-5.205209052648938,31.2916865432054,
M36,7.216260808470271,-0.9409303609385686,
M37,9.0523302987812,4.498903995615809,
M38,11.049438364032065,-2.1041886416042663,
M39,12.964288875523922,1.0751929835925873,
M40,-25.175127276565618,3.352599530024726,
M41,-20.873936933230468,12.462719322343624,
M42,-29.638307274050845,9.981054048994272,
M43,-23.89482873251497,18.813057402872534,
M44,3.682787187078901,-6.442774521484318,
M45,7.375212257776692,-8.030242347073992,
M46,1.0039856459604035,-10.42695414887327,
M47,6.026696337470851,-11.98654425828877,
M48,10.85603836332007,14.448789985812756,
M49,15.219555542665255,-13.643043468512717,
M50,17.71094234565001,23.043748007411065,
M51,4.530862509489154,21.794315931455746,
M52,-5.983514476218367,-24.314248919365888,
M53,21.57140214513444,-23.022764505873084,
M54,8.712844874166569,28.120909999477426,
M55,5.874540398849591,5.91699755807657,
M56,-29.253103980905973,-2.2361376259754895,
M57,-0.5982930191782252,-19.985726092969518,
M58,-14.985643431503089,-13.206104192525833,
M59,30.554246242810823,-5.035506879518794,
M60,13.874261128983054,-9.770925192876565,
M61,1.9694939332690344,-17.115263557620622,
M62,-17.185470118762616,10.232107397653586,
M63,-5.679145430734971,3.7405684296056,
M64,12.599358550882986,8.767270847093286,
M65,-6.941116154225493,-3.105634159644357,
M66,23.437396421928014,0.3772386000876864,
M67,16.095425748020986,-1.760095165024639,
M68,-13.153693042901999,-19.655135342528467,
M69,-16.502564173498424,-19.454720396334828,
M70,-1.6712081141223722,-4.3573826363186825,
M71,-20.597174224695316,2.11935224952037,
M72,10.919037685996887,-6.970328041905902,
M73,3.2745896401522208,16.81624436931766,
M74,15.342416585055165,6.538154963797071,
M75,11.736162434757915,26.156370377118026,
M76,-5.7596767657857395,-7.561947206485108,
M77,10.00560078906407,-13.174208926910202,
M78,-22.129760190456498,-5.458130990814237,
M79,-15.968074645087084,19.26151658434317,
M80,-12.140214970629405,12.13346914393842,
M81,12.051903648531301,18.61949055281905,
M82,-3.023697262711541,14.585197285723318,
M83,-4.6602900353962475,-0.2761408806867409,
M84,15.057966123858806,-21.505162385174415,
M85,4.309681514167971,-2.9365873469792914,
M86,31.510878737021926,5.785557036336222,
M87,22.394764839671726,3.6331294741314935,
M88,-8.633084769591225,5.444941446981046,
M89,-16.685152336825507,26.98353157940833,
M90,-10.41390071433282,-2.960594857797734,
M91,-4.00385560339863,-26.887118668744215,
M92,-8.801316278540247,22.780326967914718,
M93,-2.230097977044352,-7.787356997902606,
M94,-0.8582290041562173,-13.393503760272182,
M95,4.343019409648741,12.585669724230584
R0,4,0
