D0,-14.560178510551943,-29.991432629870125
D1,-18.174264862230395,-24.348213723066706
D2,-20.402966898830158,-20.899031999757547
D3,-16.635399170292462,-26.73610876228074
D4,-18.492650867458934,-16.919206934400826
D5,-20.402966898830158,-16.919206934400826
D6,-22.26021859599663,-16.919206934400826
D7,-24.70117796941542,-16.919206934400826
D8,-18.068136193820884,-14.372118892572523
D9,-17.8028145227971,-11.188258840287144
D10,-22.64515201154692,-9.590317213028904
D11,-15.68024115460685,-10.126972156192021
D12,-11.912673426069151,-8.53504213004933
D13,-15.733305488811606,-8.163591790616039
D14,-15.839434157221117,-5.828761085606761
D15,-17.83271298185811,-4.660381941898827
D16,-20.031516559396866,-3.122480041164188
D17,-24.38279196418688,-1.265228343997716
D18,-18.22732919643515,-0.1508773256978344
D19,-15.627176820402092,-0.20394165990258983
D20,-13.34541044959757,-0.044748657288320004
D21,-11.06364407879305,-0.044748657288320004
D22,-8.569620371169503,0.16750867953070525
D23,-9.577842721059874,2.502339384539983
D24,-18.282540384848254,2.7653948438154607
D25,-18.598779535868445,5.473942100006333
D26,-21.749709233609124,7.560144072056971
D27,-24.588232897023577,9.618335815746757
D28,-27.583529247044524,11.710940115076461
D29,-16.66916172505039,6.664070922575414
D30,-14.617588882570292,7.771920257514667
D31,-11.540229618850141,9.331115617799544
D32,-14.740683253119098,10.64412223698681
D33,-14.990404809945016,13.645849567538804
D34,-17.39114487875405,14.548700885656686
D35,-20.028390191908635,15.319587977194178
D36,-22.503343485792172,15.968756054278387
D37,-13.80241819008234,17.01007253809699
D38,-12.884597222340405,19.894652722428784
D39,-12.26179013708695,22.877570867590073
D40,-11.647351755045367,-25.780950746595114
D41,-9.259456715831334,-21.641932678624123
D42,-6.924626010822056,-21.748061347033634
D43,-4.748988308427048,-21.641932678624123
D44,-4.165280632174728,-17.768236281676913
D45,-3.687701624331922,-14.425183226777264
D46,-4.491894958286418,-12.097562721905106
D47,-1.783131128164925,-10.430631134138034
D48,-4.399287647854914,-10.037050064804141
D49,-7.842498796295692,-30.390773002853997
D50,-2.8643974085705164,-30.390773002853997
D51,1.2121580585430145,-28.11730937696376
D52,6.151061797545946,-25.687055156184538
D53,6.1822645377527525,-24.401278057271448
D54,6.1822645377527525,-21.37661100760034
D55,6.1530245453072645,-17.915720151471508
D56,-0.9475127587256491,-16.957240219155842
D57,1.7974994818239836,-13.813847489564
D58,8.895456202349546,-16.549342757131253
D59,11.73278308082821,-15.526585393958712
D60,13.019477828045279,-14.800757587836262
D61,12.260657848917266,-12.392328958429953
D62,11.33687700476142,-10.28082988607374
D63,9.472253258447644,-10.339229493011022
D64,3.4049558726011746,-11.877950988388633
D65,4.746329955498798,-9.865889864042202
D66,2.096310803986519,-8.21665612482077
D67,0.658330095798858,-7.449861982875992
D68,0.976159105184399,-4.178588780476749
D69,1.1877386267474872,-0.33489413874729124
D70,4.5730109717569185,0.5819504546927625
D71,-1.6479665752153574,-1.3445130086143688
D72,-3.995959651548203,-2.5212158615658815
D73,-4.948067498582105,-4.213852034070598
D74,1.2935283875290313,2.098270359228236
D75,1.7166874306552096,4.884067393142246
D76,3.582112161719696,6.482164449896732
D77,1.618731796143713,6.959743457739538
D78,1.0716897002715804,9.662073516428785
