D2,37.4944,-11.6911
D3,33.58866477102535,-5.022295979262655
D4,29.5444,2.6589
D5,26.5444,8.4589
D6,25.1944,11.2089
D7,22.9944,15.5089
D8,20.793506995067695,19.19583007920509
D9,17.8944,22.8089
D10,12.40703076661681,24.12200180931324
D11,10.19821634414022,24.693246918574424
D12,2.6369472567312737,22.561942616805435
D13,-3.5369802770876664,23.393048246357985
D14,-3.007212234491874,18.923326648658687
D15,-6.276030570466954,23.74982441974509
D16,-10.983538306158943,22.334032619536973
D17,-12.8948572364399,19.0069218890479
D18,20.061837740390878,15.541872265998984
D19,14.255075200328442,15.46973856984914
D20,11.8444,15.5089
D21,9.5944,15.5089
D22,6.868490907176769,14.865170829214378
D23,23.19262846816467,3.78063552159211
D24,21.412121867683407,3.421283144771092
D25,19.645966400461763,0.2814512030437246
D26,17.683571436882158,2.505498828433943
D27,13.72607492699662,1.328061850286181
D28,11.541167392364727,0.6789425915712965
D29,11.79923577113684,3.3564020213319616
D30,9.651237696572583,0.08882399193550317
D31,6.69294886340726,-0.8893314314515939
D32,5.224187062158563,-1.2577183398803093
D33,6.067749266273047,-1.9985990264976756
D34,1.7944,0.2589
D35,1.537657449596777,2.4065670161290544
D36,0.18305748149714063,-1.718438721383956
D37,-2.727968392202131,-1.920726695369389
D38,-6.526986387584548,-2.1318633681061208
D39,-3.649475660461105,3.2343963869667207
D40,-5.757317250404389,4.11445966382054
D41,-5.939106295889273,5.438922709496119
D42,-7.93972099827653,8.97644362382952
D43,-8.917320869618235,10.506267448361102
D44,-9.71338,8.74263
D45,-11.9998,15.999
D46,-14.481690750556231,7.53347056946557
D47,-16.659801124352327,7.722871471534796
D48,-17.63837245170999,11.447755878896235
D49,-17.63837245170999,13.404898533611565
D50,29.649392336595998,-11.760703724505706
D51,22.853143660217224,-11.795202448751283
D52,20.056454315280313,-12.283421001690932
D53,17.34,-12.75
D54,14.6999,-13.385021835
D55,12.0944,-9.3311
D56,8.748856893210203,-9.266434760665959
D57,6.493611304224118,-11.898572611537444
D58,5.216710471757938,-11.366530598009868
D59,2.258556876544618,-10.174756487708098
D60,-2.770231365927417,-15.992258603110582
D61,-4.4477456516417035,-8.024065745967718
D62,18.039679057475936,-26.733705906152437
D63,14.30911246746553,-26.733705906152437
D64,10.332574453937957,-26.774701143405295
D65,5.823098356123181,-26.774701143405295
D66,1.5381999924395195,-26.74514772177418
D67,0.3624568071356613,-24.355324005616346
D68,-1.7127907043850765,-18.728210560915883
D69,-8.429974660022115,-25.680714939906338
D70,-12.896462363191244,-24.51708632488478
D71,-15.489739645377302,-23.61006742799538
D72,-15.133606068188364,-16.98357597494238
D74,-14.899453032474078,-14.735616643145143
D75,-14.899453032474078,-12.324866274481547
D76,-14.006582525561633,-7.681939638536843
D77,-18.671520899697576,-21.674838245967727
D78,-21.524612789458523,-19.71362337557602
D79,-25.565077305587558,-8.746648260368644
D80,-26.866757367511525,-4.736171566820255
D81,-25.388472564264106,-1.8274373286290109
D82,-25.4925,-0.370491
T0,Q1,D111
T1,Q1,D2
T2,D2,D3
T3,D3,D95
T4,D4,D5
T5,D5,D6
T6,D6,D7
T7,D7,D8
T8,D8,D9
T9,D9,D104
T10,D10,D11
T11,D105,D12
T12,D12,D106
T13,D13,D15
T14,D15,D124
T15,D16,D127
T16,D13,D14
T17,D7,D18
T18,D18,D101
T19,D19,D20
T20,D20,D21
T21,D21,D22
T22,D95,D96
T23,D23,D24
T24,D24,D122
T25,D26,D123
T26,D27,D28
T27,D28,D30
