D0,28.918394049307476,26.624695276732698
D1,25.66167164236174,26.6246952767327
D2,22.27468033913817,26.711541207584588
D3,15.761235525246693,26.66811824215864
D4,12.429345238706695,26.706357215888424
D5,9.499795866191452,26.706357215888424
D6,6.912027253802984,26.804008861638934
D7,4.421910287165026,26.804008861638934
D8,0.7111477486457183,27.096963798890464
D9,-3.1460922584993547,27.243441267516225
D10,-5.538557579386801,27.096963798890464
D11,-8.712236066278315,26.852834684514193
D12,-11.739437084544068,26.70635721588843
D13,-7.4427646715217115,21.335516699610483
D14,-15.25489633156236,25.583363289757585
D15,-16.08493532044168,22.40968480286607
D16,-17.061451777946758,19.96839365910337
D17,-20.23513026483827,19.431309607475573
D18,-20.674562670715552,16.64823770358609
D19,-20.96751760796708,14.451075674199657
D20,-20.81945805261138,11.573566324477419
D21,-20.581732324841703,8.800099500497822
D22,-21.35812419096911,7.029550597161039
D23,-22.578769762850463,4.930040213525116
D24,-16.475541903443705,6.834247305660023
D25,-24.775931792236896,5.271820973651893
D26,-21.289776659574457,2.0815118161742134
D27,-20.339345426527025,-0.19376295384842201
D28,-21.635388017046246,-2.209829205767212
D29,14.724915564018826,24.191589712137986
D30,12.281623361941563,23.303119820473526
D31,10.149295621946862,22.370226434225845
D32,6.906380517371584,21.25963906964527
D33,4.285394336961431,20.149051705064696
D34,2.108643102383507,21.30406256422849
D35,0.2872798244713657,18.68307638381834
D36,-0.8677310346924312,16.55074864382364
D37,-1.9783183992730056,14.418420903828935
D38,-2.7335178071877966,12.597057625916793
D39,-3.0444822692703575,11.397623272169767
D40,-3.488717215102586,10.375882896755638
D41,-4.554881085099936,8.554519618843498
D42,-6.242973879262408,9.79837746717374
D43,-7.886643178841659,11.264352788420098
D44,-9.263771510921568,12.99686907716579
D45,-2.955635280103909,8.510096124260276
D46,-2.6002473234381256,6.688732846348135
D47,-3.3554467313529166,6.288921395099127
D48,-4.421610601350267,5.889109943850121
D49,-5.443350976764396,6.866426824681026
D50,27.074647058154806,24.01389573380508
D51,25.342130769409113,21.79272100464393
D52,23.609614480663417,19.615969770066005
D53,20.6776638381707,17.439218535488077
D54,18.500912603592777,16.106513697991392
D55,16.857243304013526,14.59611488216181
D56,15.480114971933617,12.685904615083224
D57,14.191833629020152,10.953388326337528
D58,17.568019217345096,9.931647950923402
D59,12.592587824024125,9.44298951050795
D60,11.215459491944213,8.065861178428037
D61,9.52736669778174,8.909907575509273
D62,9.927178149030748,6.555462362598457
D63,8.194661860285052,5.311604514268214
D64,7.172921484870924,3.134853279690291
D65,4.818476271960108,1.8021484421936025
D66,2.6417250373821837,0.7804080667794748
D68,-0.49830440328856085,-1.519095588782207
D69,3.3693411070922235,-3.3632709314803275
D71,-2.7779100352348483,-3.0302948279376114
D72,33.78238212777557,13.255280745262233
D73,33.71434614508054,10.601877420156212
D74,33.61229217103801,8.594815930652938
D75,33.54425618834298,6.621772432497178
D76,33.374166231605415,4.580692951646388
D77,33.204076274867845,1.7912176611503137
D78,33.03398631813028,-0.6240597245231161
D79,32.93193234408774,-2.4270132659413113
D80,30.58469094110934,-4.4000567640970765
D81,28.305485520825965,-5.726758426650088
D82,26.366460014017715,-6.917388123813048
D83,22.352337035011168,-4.229966807359514
D84,20.549383493592973,-3.3795170236716867
D85,18.712411960827264,-2.631121214026397
D86,15.922936670331188,-2.0528153611186752
D87,13.609713258700296,-1.372455534168413
D88,11.704705743239563,-2.5971032226788857
D89,11.636669760544537,-4.604164712182158
D90,11.228453864374378,-0.8621856639557173
D91,10.58211202877163,0.5665699726398365
D92,12.078903648062207,0.9407678774624806
D93,13.405605310615218,1.4170197563276616
D94,14.664270990473202,2.675685436185649
D95,27.829233641960776,-9.536773457571561
D96,23.37287677543656,-8.380161751756116
D97,20.821527424373073,-9.536773457571561
D98,20.00509563203276,-12.632410670195256
D99,19.46080777047255,-15.251796003953764
D100,18.67839396947975,-18.68761313005259
D101,17.861962177139436,-21.34101645515861
D102,14.698288981820713,-23.17798798792432
D103,11.432561812459458,-24.70879759856241
D104,8.132816651750684,-28.65488459487393
D105,16.807404445366526,-10.659367172039492
D106,13.269533345225163,-11.679906912464885
D107,11.214945705603832,-9.817665927594156
D108,11.495301771804726,-14.723897086109814
D109,10.023432424250032,-16.896656599166747
D110,7.079693729140642,-16.68638954951608
D111,4.5915336416077,-16.58125602469074
D112,3.6803764264547922,-13.532383804756012
D113,3.259842327153452,-18.193303405345887
D114,2.2085070789000962,-19.980573327376593
D115,-0.06938595898217415,-21.732798741132186
D116,-2.45241252168978,-23.13457907213666
D117,-5.606418266449847,-26.218495800346503
D118,-8.88347975820037,-29.137240383876126
D119,-11.52347599259884,-29.705340839379595
D120,-5.606418266449847,-21.592620708031735
D121,-6.20217490712675,-18.29843693017122
D122,-8.164667370533014,-21.66270972458196
D123,-10.582738441515732,-21.697754232857072
D124,-17.171105997236758,-21.137042100455282
D125,-19.168642968918135,-18.68392652119745
D127,-20.899078855438013,-11.225148543889091
D128,-16.53543335952667,-8.028847702934923
D129,-19.259237554426747,-7.500763216168584
T0,Q1,D0
T1,D0,D1
T2,D1,D2
T3,D1,M35
T4,D2,D29
T5,D29,D30
T6,D30,D31
T7,D30,M92
T8,D31,D32
T9,D32,M19
T10,D32,D33
T11,D33,D34
T12,D34,D35
T13,D35,D36
T14,D35,M80
T15,D35,M62
T16,D36,D37
T17,D37,D38
T18,D37,M17
T19,D37,M3
T20,D38,D39
T21,D39,D40
T22,D39,M88
T23,D39,M1
T24,D40,D41
T25,D41,D42
T26,D42,M90
T27,D42,D43
T28,D43,D44
T29,D44,M2
T30,D40,D45
T31,D45,D46
T32,D45,M63
T33,D46,D47
T34,D47,D48
T35,D47,M83
T36,D48,D49
T37,D49,M65
T38,D2,D3
T39,D3,D4
T40,D4,D5
T41,D4,M89
T42,D5,D6
T43,D6,D7
T44,D6,M79
T45,D7,D8
T46,D8,D9
T47,D8,M43
